typeID,groupID,typeName,volume,capacity,portionSize,,,,,
0,0,#System,0.00,0.00,1,,,,,
2,2,Corporation,0.00,0.00,1,,,,,
3,3,Region,1.00,0.00,1,,,,,
4,4,Constellation,1.00,0.00,1,,,,,
5,5,Solar System,1.00,0.00,1,,,,,
6,6,Sun G5 (Yellow),1.00,0.00,1,,,,,
7,6,Sun K7 (Orange),1.00,0.00,1,,,,,
8,6,Sun K5 (Red Giant),1.00,0.00,1,,,,,
9,6,Sun B0 (Blue),1.00,0.00,1,,,,,
10,6,Sun F0 (White),1.00,0.00,1,,,,,
11,7,Planet (Temperate),1.00,0.00,1,,,,,
12,7,Planet (Ice),1.00,0.00,1,,,,,
13,7,Planet (Gas),1.00,0.00,1,,,,,
14,8,Moon,1.00,0.00,1,,,,,
15,9,Asteroid Belt,1.00,0.00,1,,,,,
16,10,Stargate (Caldari System),10000000.00,0.00,1,,,,,
17,10,Stargate (Amarr Constellation),100000000.00,0.00,1,,,,,
18,458,Plagioclase,0.35,0.00,100,,,,,
19,461,Spodumain,16.00,0.00,100,,,,,
20,457,Kernite,1.20,0.00,100,,,,,
21,454,Hedbergite,3.00,0.00,100,,,,,
22,450,Arkonor,16.00,0.00,100,,,,,
23,12,Cargo Container,27500.00,27500.00,1,,,,,
24,13,Ring,1.00,0.00,1,,,,,
25,14,Corpse,2.00,0.00,1,,,,,
26,16,Office Folder,1.00,0.00,1,,,,,
27,16,Office,1.00,0.00,1,,,,,
28,16,Factory Folder,1.00,0.00,1,,,,,
29,17,Credits,0.00,0.00,57344,,,,,
30,19,Faction,0.00,0.00,1,,,,,
34,18,Tritanium,0.01,0.00,1,,,,,
35,18,Pyerite,0.01,0.00,1,,,,,
36,18,Mexallon,0.01,0.00,1,,,,,
37,18,Isogen,0.01,0.00,1,,,,,
38,18,Nocxium,0.01,0.00,1,,,,,
39,18,Zydrine,0.01,0.00,1,,,,,
40,18,Megacyte,0.01,0.00,1,,,,,
41,280,Garbage,0.25,0.00,1,,,,,
42,280,Spiced Wine,0.50,0.00,1,,,,,
43,280,Antibiotics,0.20,0.00,1,,,,,
44,1034,Enriched Uranium,1.50,0.00,1,,,,,
45,281,Frozen Plant Seeds,0.50,0.00,1,,,,,
49,24,Player Kill,0.00,0.00,1,,,,,
50,24,Company Shares,0.00,0.00,1,,,,,
51,24,Bookmark,0.00,0.00,1,,,,,
52,94,Trading,0.00,0.00,1,,,,,
53,95,Trade Session,0.00,0.00,1,,,,,
54,15,Caldari Logistics Station,1.00,0.00,1,,,,,
56,15,Gallente Military Station,1.00,0.00,1,,,,,
57,15,Gallente Station Hub ,1.00,0.00,1,,,,,
58,15,C-O-1,1.00,0.00,1,,,,,
59,15,C-O-2,1.00,0.00,1,,,,,
60,1319,Asset Safety Wrap,1.00,1.00,1,,,,,
164,23,Clone Grade Alpha,1.00,0.00,1,,,,,
165,23,Clone Grade Beta,1.00,0.00,1,,,,,
166,23,Clone Grade Gamma,1.00,0.00,1,,,,,
178,83,Carbonized Lead S,0.00,0.00,100,,,,,
179,83,Nuclear S,0.00,0.00,100,,,,,
180,83,Proton S,0.00,0.00,100,,,,,
181,83,Depleted Uranium S,0.00,0.00,100,,,,,
182,83,Titanium Sabot S,0.00,0.00,100,,,,,
183,83,Fusion S,0.00,0.00,100,,,,,
184,83,Phased Plasma S,0.00,0.00,100,,,,,
185,83,EMP S,0.00,0.00,100,,,,,
186,83,Carbonized Lead M,0.01,0.00,100,,,,,
187,83,Nuclear M,0.01,0.00,100,,,,,
188,83,Proton M,0.01,0.00,100,,,,,
189,83,Depleted Uranium M,0.01,0.00,100,,,,,
190,83,Titanium Sabot M,0.01,0.00,100,,,,,
191,83,Fusion M,0.01,0.00,100,,,,,
192,83,Phased Plasma M,0.01,0.00,100,,,,,
193,83,EMP M,0.01,0.00,100,,,,,
194,83,Carbonized Lead L,0.03,0.00,100,,,,,
195,83,Nuclear L,0.03,0.00,100,,,,,
196,83,Proton L,0.03,0.00,100,,,,,
197,83,Depleted Uranium L,0.03,0.00,100,,,,,
198,83,Titanium Sabot L,0.03,0.00,100,,,,,
199,83,Fusion L,0.03,0.00,100,,,,,
200,83,Phased Plasma L,0.03,0.00,100,,,,,
201,83,EMP L,0.03,0.00,100,,,,,
202,386,Mjolnir Cruise Missile,0.05,0.00,100,,,,,
203,386,Scourge Cruise Missile,0.05,0.00,100,,,,,
204,386,Inferno Cruise Missile,0.05,0.00,100,,,,,
205,386,Nova Cruise Missile,0.05,0.00,100,,,,,
206,385,Nova Heavy Missile,0.03,0.00,100,,,,,
207,385,Mjolnir Heavy Missile,0.03,0.00,100,,,,,
208,385,Inferno Heavy Missile,0.03,0.00,100,,,,,
209,385,Scourge Heavy Missile,0.03,0.00,100,,,,,
210,384,Scourge Light Missile,0.02,0.00,100,,,,,
211,384,Inferno Light Missile,0.02,0.00,100,,,,,
212,384,Mjolnir Light Missile,0.02,0.00,100,,,,,
213,384,Nova Light Missile,0.02,0.00,100,,,,,
215,85,Iron Charge S,0.00,0.00,100,,,,,
216,85,Tungsten Charge S,0.00,0.00,100,,,,,
217,85,Iridium Charge S,0.00,0.00,100,,,,,
218,85,Lead Charge S,0.00,0.00,100,,,,,
219,85,Thorium Charge S,0.00,0.00,100,,,,,
220,85,Uranium Charge S,0.00,0.00,100,,,,,
221,85,Plutonium Charge S,0.00,0.00,100,,,,,
222,85,Antimatter Charge S,0.00,0.00,100,,,,,
223,85,Iron Charge M,0.01,0.00,100,,,,,
224,85,Tungsten Charge M,0.01,0.00,100,,,,,
225,85,Iridium Charge M,0.01,0.00,100,,,,,
226,85,Lead Charge M,0.01,0.00,100,,,,,
227,85,Thorium Charge M,0.01,0.00,100,,,,,
228,85,Uranium Charge M,0.01,0.00,100,,,,,
229,85,Plutonium Charge M,0.01,0.00,100,,,,,
230,85,Antimatter Charge M,0.01,0.00,100,,,,,
231,85,Iron Charge L,0.03,0.00,100,,,,,
232,85,Tungsten Charge L,0.03,0.00,100,,,,,
233,85,Iridium Charge L,0.03,0.00,100,,,,,
234,85,Lead Charge L,0.03,0.00,100,,,,,
235,85,Thorium Charge L,0.03,0.00,100,,,,,
236,85,Uranium Charge L,0.03,0.00,100,,,,,
237,85,Plutonium Charge L,0.03,0.00,100,,,,,
238,85,Antimatter Charge L,0.03,0.00,100,,,,,
239,86,Radio S,1.00,0.00,1,,,,,
